1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
5.972637527217012,5.167963530644999,5.673137527217012,5.249197119917353,5.677171654201138,5.304050664791172,5.6946145002439845,5.365846979687474,5.724055567510051,5.425567189396041,5.762262090768356,5.4925623069451435,5.81554932421774,5.5621772670836425,5.867475413865966,5.633016949205847,5.923154888115859,5.697985384935561,5.985584957261055,5.771398330725983,6.033550913154073,5.835722167864853,6.095476387627028,5.897785989635342,6.1351210905569475,5.951418268667392,6.194156439467297,6.0076404663950616,6.236617741624132,6.059957330490633,6.28029877335082,6.107806438757076,6.318176330815293,6.155521242626638,6.35708019084695,6.1939600544124485,6.388963765712274,6.234225786775977,6.4242561431084155,6.270899265547944,6.456851328956406,6.302521045100051,6.48508748316058,6.3417144687020786,6.511464270429792,6.372580689343322,6.538771466115082,6.392706749580912,6.566705829870114,6.4234668992648745,6.588901398571145,6.459388137991373,6.618294299545449,6.483075043999877,6.638608798816645,6.511930357265365,6.661892431338132,6.529826371500624,6.680370436438746,6.554868484180219,6.697255294310256,6.572853088922784,6.721310330765879,6.5914376637044985,6.733716966212456,6.611281863589497,6.749321218835317,6.634461337940752,6.767425770762771,6.649676957225602,6.778147861803178,6.662082322621357,6.793104760491018,6.682771405380333,6.807204589877871,6.6935707964565365,6.820911145662796,6.711400169783961,6.834293538714521,6.721735320177485,6.840695874682646,6.738749309899325,6.857684062236171,6.748175851624593,6.866671200631657,6.7610983360416705,6.877760998620285,6.774857589315393,6.889836548204165,6.788937899207921,6.898855891523688,6.797341360650158,6.909294654408997,6.805824007610892,6.919720748252328,6.820283531440723,6.928205664899604,6.83033600795918,6.935915109344049
6.084054193883679,5.301607297812282,5.669718479597964,5.436708256003489,5.672840629670114,5.493415468146572,5.6876606318901155,5.552117380926353,5.716731566717242,5.600798410603866,5.7480127831216485,5.658235379355229,5.789514788563174,5.7103935266644115,5.8372706501274205,5.768976427923672,5.885770913147369,5.825774543774487,5.939472399553363,5.885575305954049,5.987299984548986,5.93740277945141,6.024601503163546,5.9907593668078825,6.066671226888837,6.030560554269441,6.1180108696851,6.088765011655752,6.16239390891712,6.123106384794272,6.1934693234566405,6.162083541843205,6.226272304076043,6.206036254454269,6.2705741038228675,6.230880037201736,6.292392134860818,6.26497069595538,6.323089674106121,6.292645695279363,6.350124501199845,6.327104269987656,6.374271531957495,6.34249810963959,6.402592173170999,6.375112715440395,6.426837419941743,6.399138736809896,6.43768920701878,6.425317449913643,6.464397252232457,6.446283842135311,6.484736518802596,6.469718236940882,6.510998036446853,6.495577333478578,6.536207520162279,6.516922241936794,6.565634314277792,6.527051833578618,6.581969118245708,6.547849280805394,6.604968771827642,6.564635606530747,6.624327920698951,6.587152320955798,6.638381826394267,6.599879447675823,6.652940758779839,6.6154196586766005,6.670614653196727,6.635732995962224,6.685601463539611,6.650811444204834,6.694158950058154,6.666039089517788,6.703318511231724,6.677317255666858,6.7236565561533235,6.677699681785947,6.738015082513544,6.696414834166873,6.73546272665028,6.710806603385785,6.7534062053937305,6.714338596758443,6.773451117116368,6.731157115727541,6.771999521429358,6.738929260355798,6.79148186066595,6.748635895877849,6.796961712103342,6.763828856540159,6.805844366205182,6.765684621263121,6.818793606317159,6.779741432455481,6.825479329504968
5.009176812931296,4.450793616759411,4.969577759207244,4.6459744993061465,5.013201000181955,4.7226248700334,5.0474491453925125,4.783334139835967,5.082076207408479,4.839457610092845,5.113975331451763,4.890218207915748,5.146917772471685,4.93705563902777,5.181378863861319,4.980582091291945,5.212372641381356,5.023801809594709,5.2449117733384645,5.064162974679094,5.271861564680459,5.101719847352485,5.298867673370722,5.136637752008976,5.322932686879514,5.166011030049811,5.349282763919619,5.201167764473226,5.373036485107872,5.224999963873878,5.392841928764077,5.250792589866338,5.413012013465075,5.276184928084972,5.432874119048771,5.296098362710718,5.44784939388788,5.316501284705887,5.464665359269995,5.336149820170329,5.480734796089124,5.355355644119763,5.494880218147946,5.372346402507581,5.507728442170009,5.389196727147582,5.521532150837043,5.405189014161442,5.531362263072433,5.4196657354589535,5.5438920945928025,5.433732445969505,5.555801702892427,5.448562814414163,5.567418037856118,5.464172791362531,5.577188022099873,5.474104045570869,5.589241207473151,5.483523904027501,5.597960657202781,5.4945290858952465,5.606687466749512,5.5054771252377614,5.615070923461592,5.514956144875896,5.623877128863858,5.524833896462854,5.629612245587938,5.533691842660061,5.636298280088051,5.543446103485151,5.642826543364362,5.55144487140875,5.648393359598451,5.560895504777547,5.653644065650502,5.569004043395181,5.661961516639191,5.572968667964629,5.669109646559338,5.581946570939777,5.67097822881692,5.591129551885901,5.67750185272366,5.593560121053486,5.684814813350955,5.6011442094554535,5.687330689049356,5.610435132100343,5.694139949822806,5.613451858573646,5.698563018969554,5.620801021365247,5.701636403055316,5.624897267733853,5.708254293949732,5.63147831548856,5.710292031970231
4.988988717693203,4.53725707869542,4.963537432866918,4.732305898150169,5.005397807737556,4.808239525855898,5.038401289786093,4.865612526537219,5.069419219136188,4.91732650561567,5.0998906411339675,4.963259149665781,5.128996469012715,5.004606738151977,5.161206097954017,5.0432337630539115,5.187329934723921,5.080002037729451,5.217125741181672,5.11500805174912,5.243780391077037,5.144696793597355,5.267290963036412,5.1736029769802645,5.292568414195432,5.1971570375295615,5.311163624923898,5.225837499710392,5.33503113677249,5.2487926308375865,5.353847725040985,5.269877793196992,5.373416767632951,5.288893264054504,5.389076528394267,5.307999447603716,5.406318852138462,5.3245799580878375,5.418850558660734,5.3397816863138665,5.434363953840253,5.3565734851869005,5.448133897228579,5.370290766861223,5.459443776588226,5.38330572275681,5.47262116847442,5.395527088919862,5.484282145533196,5.4104123639282395,5.49260903718731,5.419361269617454,5.5055419276993485,5.431120256528041,5.5194553978838705,5.44299385965894,5.525948351486757,5.453228829028674,5.5310332447974275,5.462987320670926,5.53722625475655,5.471198471159971,5.545239123963687,5.478921739138339,5.550862712767585,5.487074721091431,5.556318226783853,5.494709049604975,5.561472953350572,5.501817725601414,5.567284196167781,5.5067368649253865,5.573827491173938,5.512582416159108,5.581780655393352,5.520088416915878,5.587117853021715,5.525844770947506,5.589784033476315,5.534763743341833,5.596001233681243,5.538399784440044,5.603033710889851,5.5439702712336825,5.608162943880471,5.551307864846292,5.608411451658343,5.556100217644178,5.615268745391652,5.560577029786338,5.6163491836033375,5.567836236677492,5.620137583264802,5.569628826225292,5.625896638960741,5.576969582821419,5.626855502561942,5.578946772080271,5.633873919430196
4.5386844247639075,4.043113006846179,4.558278978808075,4.263882571464991,4.61602046340437,4.3491504658130475,4.659071758000241,4.414017762772781,4.695647376624905,4.468969776263873,4.728249905508605,4.518420195474143,4.758569285456837,4.560389908873544,4.786571413873774,4.599907180480141,4.8133462835802,4.635817746511643,4.839679468092978,4.670415240107946,4.86241507009974,4.700918629621394,4.884198385673683,4.729637791921062,4.902689481134594,4.754803761454091,4.92252980930916,4.779765297816648,4.940764921170678,4.8013335647902,4.956644669200724,4.822744198109055,4.971813201799115,4.841877593134441,4.985731288853726,4.859225566259026,4.998854484292884,4.87572456393613,5.011265301704286,4.891619090248654,5.0228354233869865,4.906035321719324,5.032412906370449,4.919048976866814,5.042991918331919,4.9328047309013385,5.053500682467275,4.944781536557717,5.062582516461189,4.955978111493869,5.071146593915131,4.96808829594728,5.0797283843848815,4.978155106063075,5.08797838070865,4.991002312419291,5.095471895696826,4.999361871380328,5.104418390864824,5.006709685428434,5.110368501552754,5.0143965643886474,5.1181057166430035,5.022869614529925,5.123436870565751,5.030484218206863,5.1284073351641855,5.03774973880739,5.134637958856032,5.0450877776514265,5.138474627151414,5.0528831393831135,5.1441131400890825,5.059331900534865,5.14936473106734,5.0654629707087,5.153167234967563,5.0712187043294765,5.158581393863374,5.074824210731248,5.1629949070345456,5.081983754401016,5.1657637858611745,5.087715463380521,5.170821101814765,5.090806999043631,5.174951365970862,5.097486413326591,5.177722644062285,5.101960775506978,5.182346836990684,5.105251596911334,5.1855792677983175,5.110437794945328,5.188269026471869,5.113215954069518,5.191632028594965,5.118479751372193,5.194093394462078
4.5133243237538085,4.08696741660813,4.549508136736042,4.304481010275444,4.604793744890341,4.386840140744713,4.646223551394971,4.448360655733955,4.6791534020819014,4.498222311012634,4.709060173189651,4.543924799281487,4.737603057042592,4.581954899416289,4.764210659854893,4.618149063556012,4.787222065190041,4.650613366697862,4.811950642627538,4.680339395703324,4.833233468185269,4.70709446327047,4.852271332667384,4.730806486902773,4.8712912552478285,4.753525777769028,4.88706442110914,4.7741192087749695,4.904139574471052,4.7953248059181,4.91987984466617,4.813039276858608,4.931895245089184,4.828713878491617,4.944427007993763,4.844762113516949,4.958397337988701,4.860929287871319,4.969392505914955,4.874375194458051,4.979548175744006,4.887495368588453,4.989167745865188,4.899692450080982,4.99963514170846,4.911634701294015,5.008317275124631,4.923182539783972,5.017444640973485,4.9349333271161235,5.024564948063037,4.944389004436778,5.035154951151432,4.954139342461756,5.0462102524225605,4.964742817376347,5.05103000714412,4.97400343885498,5.055936312885562,4.981987135127763,5.062398773264004,4.990291471850116,5.067192554384192,4.997947753911321,5.072253771812686,5.004561555912737,5.077035725908645,5.010575646148101,5.082574859740877,5.016964262601907,5.087316459784517,5.023503929773323,5.092714845425969,5.027666331699226,5.0977436974280375,5.033333782747645,5.102636992713726,5.040754783710905,5.106505098770928,5.045967641796202,5.110779365811488,5.050335887355095,5.115805906139416,5.054909154702569,5.120339132613108,5.0602459375192455,5.122005686742879,5.064976682529192,5.1271252010286545,5.067856074618749,5.128501850692044,5.0738489523254735,5.131753003501801,5.076747312301211,5.135953825895997,5.081757794133887,5.137106169725578,5.085367134555453,5.141435072336806
4.208193994360979,3.757832436722844,4.268055159277242,3.9897800397460985,4.333927989348172,4.080051718051518,4.3809733403482785,4.147261358341202,4.419758327424642,4.2023192773761044,4.452538169469567,4.249557082559002,4.481954936605822,4.290967869494339,4.508441685434638,4.3282518233540594,4.532634659220499,4.362301535350881,4.555648908037098,4.393276695063223,4.576026115370422,4.420597010372276,4.595541365872361,4.445934528634911,4.612276779855863,4.469274464621847,4.6286610615625925,4.4905070316200675,4.644296542167613,4.510772339200126,4.658270618680506,4.528317218148664,4.671827754990766,4.544997649069628,4.683426186766088,4.560334530309113,4.695494240767149,4.574764482212002,4.704556644019239,4.586817304128016,4.715096664916206,4.599387662059753,4.724215237575214,4.6109748694292625,4.732705552517685,4.621596267307947,4.7401828706890505,4.631717877742494,4.748429217080051,4.641743910168403,4.754844199310511,4.6512364306127205,4.761768354312066,4.659383350663071,4.769531892530895,4.66912362586774,4.77415005333176,4.67668856957221,4.780532110411548,4.684466430317341,4.785180964722604,4.692080932898456,4.791061110809684,4.698696585289625,4.795909538650433,4.705708968242698,4.7996953003551575,4.712800955721652,4.80391723280547,4.719135716988076,4.808165831596132,4.724862772472138,4.813642119733975,4.731555788063619,4.817162413935655,4.737231092195226,4.820960742244109,4.743631213147449,4.824468117765609,4.748319946603384,4.82814503033718,4.753803883067343,4.831443506585122,4.759117356170289,4.835066073762266,4.76327177965306,4.838365488132531,4.768755178785488,4.84206048309498,4.773679245647296,4.844525194967757,4.778188942025907,4.8480016748787635,4.782339455739288,4.850966567957643,4.786475031390697,4.853891558951642,4.790394038765105,4.856109662729184
4.231415768420253,3.7746114397300334,4.256531507475918,4.002893222998128,4.3195678001584,4.089103509046828,4.364490307445628,4.152239325618529,4.399565022230627,4.204336587319525,4.431528395584006,4.24807095206804,4.459255235347914,4.287039165261178,4.484596020010981,4.322168505897007,4.506784210245667,4.354031927622305,4.529234233745197,4.383629455193863,4.548533700086083,4.4102124971881596,4.565849361039151,4.433691798203212,4.582847953153378,4.456882901728381,4.597881101311762,4.478666269041448,4.613175883547398,4.499355810819336,4.6268794091107965,4.517433449892576,4.641503291184371,4.533675650367695,4.652602069736455,4.549865137361922,4.664151995611144,4.5645056178475825,4.674942867251398,4.5778282423078736,4.684894405278198,4.591427580103967,4.696015500927712,4.603115496415123,4.704270214378827,4.614297338452008,4.712318048034475,4.625042181051454,4.71994144612309,4.635490736897825,4.728070976489997,4.645617267916036,4.735414958269502,4.6543825784691,4.743827472107402,4.664156955089592,4.750835119037909,4.673505591703831,4.757381574672957,4.680997900882481,4.7634511658555745,4.688440464766713,4.769532755307917,4.695452921075784,4.775475706377612,4.702444092965842,4.78061959606024,4.709481376716507,4.786008624282265,4.716341691874441,4.791493981071535,4.722338525382242,4.795790706718637,4.728014252513243,4.8004831652730235,4.734548638528735,4.803688424723541,4.740345681310764,4.807828741429325,4.746232230684841,4.811523884187028,4.7506462495475805,4.814486755910246,4.756155849565172,4.819097960861949,4.761009349256112,4.821193561623134,4.7661251524521075,4.825316356732098,4.770467314104726,4.828737663489522,4.775625266664047,4.831955463346356,4.778911812185433,4.83570671500281,4.783803534705008,4.837292760564817,4.788169957910399,4.841416364379742
3.9919428599991233,3.539633613750133,4.043876994596498,3.777532761214627,4.115107256117447,3.8701298039676604,4.165108792757565,3.938911595290019,4.205148890934097,3.994826948244032,4.23787530413172,4.0416924539919945,4.266676626659839,4.080248853637606,4.292866674729894,4.116613942138791,4.315815309345988,4.148395358193324,4.337587977543239,4.176934754687924,4.355948615364295,4.2017073516915735,4.373127518984052,4.223505820521605,4.389079562909867,4.2439160180570195,4.403735552323496,4.2640079536523094,4.417892414609785,4.280911591475526,4.429856179590831,4.297210469136711,4.441446878086055,4.3116460500902,4.450541805094627,4.326410800015646,4.460071737690626,4.339190258546221,4.468307690546563,4.351593424825202,4.4766662563766655,4.363265308366441,4.484208026739449,4.374614613997442,4.491410836938453,4.385670139332616,4.499276570581286,4.396048883668785,4.506006352026784,4.405067586552195,4.511853814868544,4.414206918709067,4.518491083676812,4.423425588105058,4.52613612286177,4.4330794863104295,4.531168055357901,4.440954269071808,4.5370571380370475,4.448269950798701,4.541830737052727,4.455766421288935,4.547043717476549,4.463019138757112,4.552355436405484,4.469590257945309,4.556887920482841,4.476375532239872,4.5606600632003635,4.482615608212826,4.565326367832604,4.488871974196885,4.569140437712411,4.49446874937094,4.57269705881373,4.500038845935603,4.576133807207856,4.50558861420779,4.580173858898186,4.5110240544866995,4.583778794672181,4.515987508302498,4.586732620740518,4.521492615107618,4.589740883056622,4.525462613949848,4.592923089534124,4.5297808558363055,4.595343769581839,4.534123299722077,4.597989402864625,4.538537719215083,4.600549410003019,4.541558062302096,4.603287573899369,4.546165791195168,4.606140538815201,4.54963608179531,4.6075402577987585
4.0900557906099655,3.5841473550481324,4.0297934181264665,3.8080615872155197,4.097170006529465,3.895112348633147,4.144968135372523,3.960055958689456,4.181456875422255,4.012855273566567,4.213170788873064,4.059825581339829,4.242989182594271,4.099955438725448,4.27109148722736,4.138429009580191,4.2956695382166705,4.172582956557121,4.3200341116675265,4.205028363646957,4.342144506376351,4.233813264660097,4.362826508079807,4.259755738253425,4.382526642359368,4.283819264314621,4.401020981258851,4.307338354875222,4.4196466674659804,4.327497332116419,4.435631764386269,4.34667658306814,4.450165583980854,4.363731422905604,4.464541690641434,4.380253968972133,4.476245106091321,4.394970650511337,4.48888671165134,4.409077648664359,4.500508012881407,4.422138977576354,4.511268969932233,4.434124815143012,4.521017580187694,4.446193969896463,4.529918666291993,4.457037905863047,4.538140024262678,4.467270856831758,4.546544154844237,4.477702477221386,4.553706843086259,4.48772849524253,4.563181095994425,4.498470043449481,4.570528675852152,4.50753536021699,4.576781382078685,4.5164118098206565,4.583001981436395,4.525040055020318,4.590109365426981,4.532558493783588,4.596212875246576,4.540682772296241,4.601962210730008,4.548250535116537,4.606696667114486,4.555247238480283,4.612623558023893,4.562027314289891,4.617409825723463,4.568271138081378,4.622434817607691,4.574234200565653,4.626655655488902,4.580654870511369,4.630716178436594,4.586208785594555,4.635428216288192,4.590984332136281,4.639636205052262,4.5968468716071715,4.644080529553522,4.601524512711218,4.6475658482096325,4.60612855129814,4.65114989287818,4.611347961194993,4.6547025800340736,4.61615050406308,4.658638928430432,4.620009405915635,4.661897839135116,4.6246621783276245,4.66508814700631,4.628536673705138,4.66758602273123
