1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
5.415211122247223,4.847662403596018,4.642251232513608,4.121670079527702,3.4658915612451864,3.271012072286558,3.118186690988121,2.6881722289470025,2.4468898099826886,2.4222362213836357,2.116380347890478,1.8944252180784724,1.9047967442227396,1.6916419316896532,1.4612694982213201,1.483734613682418,1.3312400851226311,1.1410186469819892,1.1422909243600607,1.022879726210879,0.8627742372370715,0.8336093359739052,0.7612009688400618,0.6261602269031116,0.5584319909169637,0.5421514339725015,0.41347071727563084,0.33791432505219765,0.331272145821839,0.22940459149223835,0.15598940860590393,0.1547869539503293,0.08864294461153883,0.04384099589039779,0.12597918511885928,0.11199110070175883,0.10348548363743941,0.18947041615108662,0.21410627684107322,0.2050446224580299,0.2941049756955477,0.34736770728405636,0.3715750581219194,0.40217002304873267,0.4588132551554375,0.45327004505394225,0.48823014259542363,0.5528607899156973,0.5679274298951932
5.709492350844048,5.262529070262684,5.073347440122425,4.662715322531529,4.147618846154979,3.9227262238951024,3.7829104498698327,3.4109877969484,3.1729945187961346,3.141440986087509,2.8691846792935913,2.6385378069676113,2.623462730111238,2.427297028261114,2.2109281201494912,2.203580780196822,2.054845696905014,1.8808921662969265,1.845357081433186,1.7437681450575433,1.5881215785471263,1.5393964599929386,1.4699063012050673,1.3500850844259196,1.2755294771570367,1.2434720336971474,1.132756335363865,1.0657902669563013,1.0584744278733353,0.9772754863393687,0.9211223667010435,0.9567221336686561,0.918844454807642,0.8673825603327439,0.9276868672650503,0.9043205534032829,0.8750917264168842,0.929568945060014,0.9588145129884489,0.8747577080606695,0.9064636668180246,0.9242619722199129,1.0694995982139712,0.8648573559539033,0.8636906189861157,0.8230842014915865,0.7837510756391061,0.7937928341589285,0.712216739865913
4.790845391210017,4.346548357915261,4.17797244354863,3.7831457027678232,3.268064220337074,3.071943771343695,2.950159876947576,2.5891601715208536,2.3554748060740986,2.335696955834222,2.076764273372785,1.8580568276096878,1.8653850415384063,1.6803726146251434,1.477017542711765,1.4887778279014943,1.3516366443617267,1.1885819789541752,1.1699437698757738,1.0753545116064307,0.9285084402647426,0.8948038369761787,0.8486765909162151,0.7737256152760248,0.785712439076342,0.8651096520470628,0.8505297159290958,0.8850128670847707,0.9989495057081863,1.0081042319200435,1.0089375597830577,1.119637363348822,1.140226921721981,1.1175379923719455,1.2031584117279708,1.1852128892229084,1.1091317089833095,1.118181721075195,1.0890594280962278,0.9889363407096029,0.9840193916854388,0.9572962872092303,0.8972303141793564,0.8515400691982211,0.8575864392985169,0.7982149231631043,0.7622710901270657,0.7796268361235036,0.7198270332026868
4.819951079763708,4.429643596010499,4.270758839154512,3.911620336246259,3.428847199140632,3.2226315503424456,3.0979708586902954,2.7479255116649446,2.5096443924296987,2.4643719602791627,2.2092289931454805,1.9916231044511015,1.969819656560011,1.786411021192932,1.589436129360131,1.5775438669997144,1.4435095419594728,1.2751529891833902,1.2567782090139035,1.1763977945576214,1.0557617794234935,1.0523733921488907,1.0569189923527214,0.98879737214829,1.00001901755985,1.0831157419677762,1.069551141635598,1.0995483130951542,1.209868777099925,1.2140480167395724,1.20740017160637,1.3181308734621697,1.3139361368834115,1.2541851351551603,1.2954915432586447,1.268965151970919,1.1832558863896985,1.191218886809988,1.1438994204856208,1.0571065302820302,1.0347451396358656,1.0080704164791356,0.9318877149140667,0.8930736691628351,0.884001801162633,0.8277046986111334,0.774070032242484,0.7846750144747677,0.7088320496363847
4.340553456586435,3.9871526549469465,3.8206995531926,3.4527834428268647,2.9675403155638276,2.772519145488772,2.664779860885213,2.319102230674143,2.091615781101131,2.0779316446894662,1.8335579290129669,1.6129177808014998,1.6136826889201923,1.438436037581697,1.243576774264025,1.243266305987892,1.123117052926277,0.9630353795514135,0.9785656304804826,0.9626517482405321,0.9126942570456066,0.9908642363620899,1.0832883882423694,1.0685709792289122,1.0969677409264047,1.2065811586971626,1.2070653048081907,1.2070619078853093,1.318390461054675,1.312354205913135,1.260165921646499,1.3084562232055146,1.2674653258229427,1.1919812982073226,1.2158204917450286,1.1625738819158251,1.076132487566335,1.09129499541644,1.032669035271084,0.9799515589553871,0.9640893499248002,0.9335199971290238,0.7955164497142865,0.8281436265586121,0.8302313835234649,0.7636941158197585,0.71490167262514,0.7231019496368866,0.6719755388462172
4.359788637286759,4.033121923178715,3.865542609646219,3.5056707976937633,3.0304959418718513,2.8198806270853094,2.691995423273,2.345127815115124,2.115786459232566,2.0751924306495555,1.832142264549827,1.6190982155849334,1.6073463995389434,1.4285056698483962,1.2363217739436632,1.2323572036332286,1.1305148472922277,1.015809411765769,1.0719311593427123,1.0765911317509267,1.029067559506228,1.089669320010356,1.1874483028513678,1.1756600607510095,1.1864912245075383,1.27886169199393,1.2367301176512373,1.185178335383943,1.210554845986226,1.1237198249588827,1.0231691091940467,1.0763354154276616,0.9991166994834323,0.9029703230358674,0.924620980057467,0.8819355018515527,0.8169308311464606,0.8385036140137233,0.8091339193040457,0.7613732933386864,0.7633272875518059,0.7544324912956706,0.7237856128459409,0.6858821376273695,0.6935486484506814,0.6521573623110871,0.6200218231853596,0.6245280118399136,0.5810760677262415
4.071414924486315,3.7026789211981503,3.5574688620929007,3.2047350094426093,2.7316928967303094,2.5359103311272087,2.439155044578684,2.099701150816973,1.8698456351471493,1.8507404277764203,1.6122578505382323,1.403244352392816,1.4026780446192546,1.235705897946524,1.0507931904343832,1.0768174871519358,1.006314132623207,0.941289356872986,1.0594241721726156,1.1206833691339584,1.0931018664198129,1.1547947918626982,1.2600733428088624,1.2488963457099571,1.250508383638704,1.309739104233768,1.2311437061034847,1.1236731116926408,1.1497615230204705,1.0638874881781117,0.9708213812754336,0.9984166532369061,0.9434698003363372,0.8695793022388472,0.8974180904516432,0.8528689262549826,0.8018845232316626,0.8170535232254384,0.7806538199875599,0.7353629223481148,0.7213283634708821,0.7057080493851765,0.660570508157022,0.6199882840876542,0.6299836842334401,0.5844079039720625,0.5511295899224692,0.5461107974575022,0.5309831950435939
4.1130505467828105,3.746419009420901,3.5881126291897334,3.2240483891039347,2.7521929388578155,2.5368426403085,2.4080403131518504,2.0779388240516297,1.8508312308945696,1.8186277897828287,1.5742852282456967,1.363266827139717,1.3546457013822992,1.1877653605491751,1.0267888979585327,1.101864086329926,1.0722791010190202,1.0098307793444126,1.1176857535582525,1.192067467441217,1.1553579892959696,1.2050214836042539,1.3098500474326913,1.2725676166628248,1.2137967576149635,1.2528494663583296,1.1654610108421637,1.0573555238082568,1.0658789218338125,0.9824345195148859,0.8930111846916359,0.923681391128261,0.8568317888705501,0.7901400717588845,0.812993616688269,0.7635192834238393,0.7069012755810332,0.7159833240531279,0.6781244697764238,0.6273857989269475,0.5992460939609534,0.5928098398930258,0.5627157511593418,0.5166420510244338,0.5022365622711406,0.4561557386583532,0.42293336601739884,0.42622341770313843,0.39618618058467486
3.8489793241332757,3.491312575291268,3.3514950006379056,3.0081725061765177,2.544510017000725,2.3457447718524653,2.2480370872237865,1.910692273890228,1.687026881369658,1.6672187949910422,1.4358839172707556,1.2295108208652115,1.2309531895481969,1.0862084969899821,0.9422930500697548,1.0604155714506662,1.0819561395149362,1.0441951687813127,1.1624467031474857,1.2460263890939764,1.2068621219996953,1.2437707266588118,1.3362869996340556,1.2645064145125289,1.1780638563530803,1.2075339373602034,1.1107875475642237,0.9894727725674431,1.0178332663898728,0.9375294959327928,0.8597413361852662,0.8684090844475614,0.810911961028588,0.7457143543581632,0.749309915055534,0.6923291144736842,0.6295495014420764,0.6220423510219332,0.5738429444872817,0.5168553298392817,0.47757928762395,0.459793646430632,0.4129260658323668,0.37816199693249686,0.37396957416582655,0.33401169410929393,0.32327353708775036,0.32452471039102926,0.2983571570634636
3.8976900703701443,3.5319789033241986,3.3702466251398655,3.0087871060089975,2.5313556273304973,2.3182300557092925,2.207532736379414,1.876790583155744,1.6468921254393394,1.6167065106227192,1.3823164869272668,1.1757588303176827,1.1829200836615472,1.0734349686816185,0.9731793593424588,1.0989428908325505,1.1340057495359237,1.0871223008075468,1.1950555778124516,1.2817852720797596,1.236452983604997,1.214913801259399,1.2341489027753796,1.120838064407564,1.0235429664118563,1.0435735020136716,0.9521239982033617,0.8744504526249903,0.9013788613072444,0.8334260294830176,0.7650786597150074,0.7959398181912508,0.7223399117989159,0.6633607127722215,0.6664557150907858,0.6156481663564032,0.5519571552540937,0.5334748411499781,0.49611201222776946,0.4367622546763801,0.4037670128735301,0.3970312244531516,0.35807377935415513,0.3322826790889358,0.32410150094660645,0.2934596397815271,0.2817743461158534,0.28534602394194264,0.2717773223713846
